#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-11-29T20:44:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5de1812c99bd 
#INFO -out.max=unlimited 
#INFO queryParameters=14 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50/catalog&HTTPPRM:&&-ref=VIZ5de1812c99bd&-out.max=unlimited&-out.form=ascii table&-order=I&-oc.form=sexa&-out.src=V/50/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=HR&-out=GLON&-out=GLAT&-out=Vmag&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=V/50/catalog
#-source=V/50/catalog
#-out=HR
#-out=GLON
#-out=GLAT
#-out=Vmag
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#---Details of Columns:
    HR         (I4)    [1/9110]+ Harvard Revised Number = Bright Star Number [ucd=meta.id;meta.main]
    GLON (deg) (F6.2)  ?Galactic longitude (1) [ucd=pos.galactic.lon]
    GLAT (deg) (F6.2)  ?Galactic latitude (1) [ucd=pos.galactic.lat]
    Vmag (mag) (F5.2)  ?Visual magnitude (1) [ucd=phot.mag;em.opt.V]
---- ------ ------ -----
2329 242.91 -20.13  6.25
2330 192.06   4.26  6.22
2331 156.97  20.19  5.88
2332 183.15   8.92  5.55
2333 207.59  -4.02  5.55
2334 209.90  -5.25  5.20
2335 210.41  -5.50  5.55
2336 267.59 -26.42  6.48
2337 273.28 -27.23  6.27
2338 168.20  15.95  5.90
2339 186.37   7.41  6.47
2340 195.90   2.41  6.23
2341 261.36 -25.19  6.51
2342 201.14  -0.38  6.15
2343 192.42   4.35  4.15
2344 214.52  -7.39  5.06
2345 269.52 -26.63  5.80
2346 134.52  26.15  6.54
2347 208.58  -4.27  6.48
2348 256.45 -23.97  5.76
2349 234.00 -16.46  6.07
2350 131.75  26.61  6.65
2351 200.58   0.10  6.59
2352 280.35 -27.82  5.56
2353 245.88 -20.76  6.48
2354 273.01 -27.04  6.46
2355 208.04  -3.72  6.16
2356 216.66  -8.21  4.60
2357 216.66  -8.21  5.40
2358 216.66  -8.21  5.60
2359 226.20 -12.78  5.77
2360 273.47 -27.04  6.27
2361 240.64 -18.76  4.48
2362 202.47  -0.58  6.57
2363 136.29  25.92  5.73
2364 240.47 -18.59  5.74
2365 140.95  25.02  6.24
2366 195.57   3.31  6.20
2367 219.58  -9.26  5.93
2368 249.22 -21.47  6.32
2369 267.08 -25.90  5.82
2370 200.62   0.68  6.14
2371 196.55   2.93  6.40
2372 181.72  10.52  5.87
2373 222.42 -10.51  6.16
2374 200.20   1.04  6.65
2375 200.44   0.95  5.23
2376 159.97  19.75  6.45
2377 280.04 -27.55  5.38
2378 200.39   1.14  6.03
2379 221.81 -10.01  5.15
2380 236.17 -16.46  5.93
2381 218.02  -8.05  5.43
2382 206.43  -2.02  5.84
2383 181.32  11.00  6.42
2384 258.81 -23.84  5.27
2385 204.30  -0.75  4.50
2386 216.01  -6.90  5.60
2387 232.11 -14.53  4.33
2388 243.53 -19.10  5.84
2389 265.89 -25.36  5.22
2390 249.20 -21.01  6.20
2391 198.32   2.55  5.53
2392 220.85  -9.17  6.24
2393 245.23 -19.61  6.34
2394 153.87  22.04  5.94
2395 211.99  -4.52  5.10
2396 143.09  24.82  5.92
2397 240.46 -17.68  5.69
2398 186.04   9.13  5.27
2399 246.04 -19.72  5.24
2400 260.56 -24.00  5.60
2401 134.59  26.41  5.45
2402 158.61  20.64  5.85
2403 229.92 -13.18  6.40
2404 204.30  -0.23  6.45
2405 176.52  13.78  5.29
2406 202.21   1.00  5.88
2407 247.03 -19.88  6.44
2408 275.48 -26.71  6.29
2409 210.29  -3.19  5.80
2410 271.43 -26.05  6.15
2411 244.69 -18.94  5.42
2412 268.03 -25.40  5.70
2413 207.17  -1.37  6.55
2414 231.99 -13.68  4.54
2415 241.29 -17.54  5.62
2416 261.18 -23.80  6.19
2417 189.38   8.07  6.44
2418 215.89  -5.67  5.52
2419 175.79  14.54  5.69
2420 175.32  14.77  5.20
2421 196.77   4.45  1.93
2422 205.87  -0.31  6.06
2423 228.11 -11.61  5.70
2424 245.35 -18.84  5.59
2425 185.47  10.17  5.79
2426 201.71   1.90  6.38
2427 172.89  15.86  4.79
2428 223.24  -9.23  5.97
2429 228.69 -11.80  3.95
2430 208.95  -1.82  6.17
2431 244.70 -18.50  6.35
2432 206.98  -0.75  6.15
2433 231.82 -13.19  6.35
2434 171.46  16.55  6.41
2435 261.93 -23.73  4.39
2436 191.86   7.27  6.04
2437 223.03  -8.89  6.12
2438 186.24  10.10  6.03
2439 189.58   8.50  6.38
2440 213.71  -4.07  6.14
2441 207.31  -0.65  6.57
2442 210.03  -2.11  6.21
2443 227.87 -11.11  4.43
2444 246.82 -19.00  6.04
2445 250.22 -20.17  6.34
2446 245.69 -18.57  5.71
2447 241.18 -16.78  5.27
2448 226.69 -10.37  6.03
2449 200.05   3.35  5.97
2450 224.26  -9.04  4.82
2451 251.94 -20.54  3.17
2452 179.30  13.69  6.46
2453 186.47  10.42  6.42
2454 206.02   0.49  6.51
2455 233.11 -13.02  6.05
2456 202.94   2.20  4.66
2457 197.17   5.23  6.28
2458 201.98   2.77  6.11
2459 171.18  17.26  5.02
2460 239.54 -15.69  5.71
2461 211.31  -2.08  5.79
2462 257.12 -21.91  4.93
2463 162.53  20.41  6.27
2464 178.29  14.47  6.19
2465 247.04 -18.47  6.58
2466 196.16   6.02  5.21
2467 206.21   0.80  6.37
2468 271.21 -25.19  6.18
2469 220.05  -6.26  5.19
2470 156.31  22.48  4.87
2471 179.35  14.24  6.31
2473 189.54   9.63  2.98
2474 209.28  -0.47  6.19
2475 249.30 -18.99  6.12
2476 256.68 -21.40  6.65
2477 158.69  21.93  5.35
2478 200.30   4.37  4.49
2479 208.54   0.06  5.90
2480 186.08  11.43  5.44
2481 232.26 -11.84  6.13
2482 247.45 -18.13  6.29
2483 172.36  17.52  5.25
2484 200.74   4.50  3.36
2485 160.26  21.69  6.33
2486 160.26  21.69  6.28
2487 167.26  19.47  5.22
2488 248.31 -18.20  6.30
2489 200.99   4.54  6.46
2490 147.80  24.88  5.14
2491 227.22  -8.88 -1.46
2492 240.53 -14.98  5.20
2493 237.03 -13.42  6.45
2494 204.73   2.82  5.93
2495 233.46 -11.72  6.05
2497 240.11 -14.68  6.54
2498 225.57  -7.87  5.32
2499 196.20   7.32  6.20
2500 241.29 -15.08  5.92
2501 240.50 -14.73  5.80
2502 221.42  -5.64  5.66
2503 205.31   2.75  4.77
2504 225.33  -7.52  5.29
2505 282.50 -26.48  6.51
2506 210.38   0.30  4.47
2507 248.84 -17.84  6.62
2508 220.53  -4.93  5.07
2509 231.36 -10.34  6.08
2510 247.13 -17.18  6.21
2511 146.42  25.38  5.12
2512 183.13  13.89  5.71
2513 261.57 -22.00  6.57
2514 213.75  -1.29  5.75
2515 261.81 -21.99  5.80
2516 174.39  17.57  5.02
2517 211.77  -0.07  6.15
2518 247.37 -17.02  5.26
2519 198.26   6.96  5.85
2520 156.54  23.32  5.33
2521 214.71  -1.52  5.74
2522 226.21  -7.38  5.39
2523 260.67 -21.52  5.40
2524 264.22 -22.50  6.46
2525 200.84   5.85  5.65
2526 265.13 -22.65  5.61
2527 137.55  26.86  4.55
2528 234.45 -11.07  6.33
2529 193.38   9.76  5.27
2530 213.34  -0.38  5.77
2531 284.02 -26.43  6.37
2532 171.53  19.04  6.26
2533 191.74  10.64  5.65
2534 220.02  -3.82  6.29
2535 228.12  -7.93  5.79
2536 281.07 -25.98  6.11
2537 237.51 -12.36  7.04
2538 242.36 -14.49  3.96
2539 177.40  16.91  6.12
2540 182.10  15.02  3.60
2541 177.83  16.79  6.30
2542 180.38  15.77  6.01
2543 210.25   1.44  6.38
2544 236.11 -11.61  6.33
2545 241.64 -14.07  5.70
2546 254.96 -19.21  6.55
2547 177.82  16.95  6.48
2548 256.12 -19.60  5.14
2549 244.21 -15.02  4.99
2550 271.92 -24.10  3.27
2551 205.62   4.12  5.77
2552 217.77  -2.21  6.30
2553 260.16 -20.86  2.93
2554 263.24 -21.76  4.40
2555 203.33   5.42  6.24
2556 170.67  19.72  6.34
2557 172.59  19.08  6.13
2558 246.06 -15.58  5.96
2559 292.60 -27.21  5.64
2560 157.77  23.60  4.35
2561 158.68  23.38  6.05
2562 270.18 -23.49  6.11
2563 257.90 -19.89  6.42
2564 201.51   6.67  4.65
2565 230.20  -8.15  5.64
2566 230.11  -8.10  6.14
2567 237.43 -11.61  6.40
2568 170.30  20.07  5.87
2569 190.42  12.06  5.73
2570 218.45  -2.07  6.41
2571 231.30  -8.62  4.83
2572 214.27   0.15  5.45
2573 169.89  20.28  5.86
2574 223.98  -4.85  4.07
2575 252.22 -17.73  6.52
2576 238.95 -12.16  6.04
2577 214.87  -0.08  6.21
2578 235.29 -10.40  6.21
2579 253.67 -18.23  6.46
2580 234.98 -10.21  3.87
2581 144.42  26.31  5.68
2582 215.83  -0.49  6.04
2583 234.76 -10.08  6.91
2584 205.98   4.70  6.29
2585 171.55  19.87  4.90
2586 182.72  15.72  5.89
2587 263.86 -21.48  6.57
2588 231.62  -8.39  5.74
2589 204.61   5.62  5.92
2590 231.44  -8.15  4.68
2591 252.21 -17.38  6.32
2592 269.31 -22.93  6.41
2593 225.99  -5.34  5.00
2594 260.38 -20.24  6.26
2595 234.01  -9.33  5.30
2596 228.70  -6.68  4.37
2597 202.96   6.71  6.27
2598 242.21 -13.03  6.36
2599 220.85  -2.49  6.34
2600 178.64  17.72  6.00
2601 190.09  13.07  6.10
2602 281.74 -25.53  5.40
2603 233.48  -8.71  6.61
2604 245.63 -14.29  6.29
2605 190.31  13.14  6.40
2606 206.95   5.06  6.27
2607 235.73  -9.70  5.46
2608 258.60 -19.29  4.95
2609 126.22  27.72  5.07
2610 210.58   3.31  5.97
2611 238.42 -10.91  6.23
2612 245.83 -14.26  6.23
2613 207.30   5.08  6.35
2614 238.12 -10.67  6.37
2615 199.48   9.16  5.68
2616 236.55  -9.82  5.59
2617 144.56  26.67  6.50
2618 239.83 -11.33  1.50
2619 244.61 -13.49  5.06
2620 184.30  16.06  6.59
2621 241.72 -12.16  6.42
2622 218.72  -0.48  6.30
2623 233.19  -7.94  6.26
2624 221.43  -1.85  5.96
2625 231.93  -7.21  6.31
2626 255.83 -17.88  6.22
2627 222.17  -2.15  6.49
2628 233.72  -8.03  6.53
2629 209.80   4.47  6.63
2630 192.18  13.06  5.18
2631 198.17  10.35  5.94
2632 200.37   9.28  5.74
2633 209.17   4.86  6.59
2634 265.81 -21.16  6.27
2635 199.18   9.91  5.82
2636 215.32   1.71  6.17
2637 239.58 -10.71  6.27
2638 266.49 -21.37  6.45
2639 219.22  -0.28  5.20
2640 236.62  -9.23  5.63
2641 244.21 -12.77  6.40
2642 156.56  25.00  6.44
2643 187.43  15.32  5.93
2644 164.07  23.36  6.12
2645 169.25  21.93  6.38
2646 239.17 -10.27  3.47
2647 206.10   6.77  5.97
2648 218.01   0.61  4.99
2649 204.50   7.65  5.13
2650 195.75  11.90  3.79
2651 203.04   8.42  5.98
2652 261.54 -19.48  5.14
2653 235.55  -8.23  3.02
2654 213.08   3.55  6.57
2655 219.11   0.38  5.62
2656 223.36  -1.85  6.45
2657 228.25  -4.41  4.12
2658 253.77 -16.43  6.43
2659 193.94  13.01  6.02
2660 182.69  17.78  5.55
2661 269.21 -21.79  6.02
2662 278.61 -24.22  5.17
2663 206.32   7.31  5.78
2664 234.11  -7.07  6.09
2665 183.24  17.84  5.91
2666 252.87 -15.72  5.20
2667 254.09 -16.22  5.54
2668 254.09 -16.22  6.79
2669 188.89  15.66  6.48
2670 224.05  -1.69  6.49
2671 194.08  13.47  7.68
2672 259.91 -18.41  4.93
2673 183.48  17.94  6.28
2674 269.54 -21.60  5.50
2675 179.94  19.28  6.16
2676 210.33   5.72  6.11
2677 245.85 -12.42  6.14
2678 224.71  -1.79  5.39
2679 225.68  -2.32  6.48
2680 242.08 -10.59  6.34
2681 143.41  27.42  6.35
2682 208.11   7.03  5.75
2683 267.11 -20.73  5.17
2684 200.47  10.86  5.44
2685 249.27 -13.81  6.11
2686 236.97  -7.94  6.08
2687 260.76 -18.47  6.46
2688 238.52  -8.66  6.62
2689 291.11 -26.40  5.45
2690 236.01  -7.34  5.71
2691 251.72 -14.63  5.79
2692 195.71  13.46  6.43
2693 238.42  -8.27  1.84
2694 224.17  -0.78  6.21
2695 236.34  -7.13  6.65
2696 178.27  20.46  4.90
2697 187.22  17.20  4.41
2698 262.46 -18.75  5.96
2699 229.42  -3.44  6.03
2700 190.51  15.96  5.78
2701 218.85   2.23  4.92
2702 250.69 -13.83  4.83
2703 165.80  24.18  5.47
2704 237.50  -7.48  5.69
2705 231.68  -4.43  6.23
2706 193.21  15.11  5.85
2707 215.48   4.30  5.45
2708 239.61  -8.37  5.46
2709 132.74  28.08  6.31
2710 210.20   7.11  6.09
2711 190.28  16.40  6.43
2712 279.73 -23.86  6.47
2713 210.39   7.09  6.16
2714 215.70   4.32  4.15
2715 156.99  26.20  5.20
2716 233.80  -5.11  5.84
2717 200.78  12.04  5.00
2718 238.40  -7.30  5.92
2719 259.70 -17.13  5.14
2720 242.80  -9.49  6.10
2721 170.34  23.52  5.58
2722 192.84  15.76  6.89
2723 225.40  -0.37  5.78
2724 239.80  -7.95  6.59
2725 192.70  15.88  5.82
2726 248.09 -11.89  5.96
2727 251.76 -13.57  5.31
2728 204.63  10.56  5.62
2729 212.76   6.51  5.35
2730 235.58  -5.58  6.01
2731 219.01   3.27  5.75
2732 224.38   0.48  5.90
2733 235.84  -5.60  6.36
2734 239.81  -7.65  6.12
2735 281.55 -24.05  5.69
2736 281.56 -24.04  3.78
2737 165.21  24.97  5.92
2738 189.91  17.30  5.71
2739 224.73   0.35  6.03
2740 257.72 -16.02  4.49
2741 243.20  -9.28  6.60
2742 131.42  28.18  4.96
2743 242.54  -8.92  6.33
2744 215.81   5.24  6.41
2745 238.97  -7.07  4.66
2746 256.26 -15.30  4.89
2747 208.53   8.99  5.82
2748 255.77 -15.04  5.10
2749 239.41  -7.15  3.85
2750 239.65  -7.26  5.58
2751 168.11  24.51  5.05
2752 225.11   0.50  5.95
2753 177.08  22.11  5.78
2754 274.00 -21.77  6.02
2755 236.79  -5.58  6.32
2756 242.99  -8.80  5.36
2757 187.09  18.85  6.24
2758 229.59  -1.71  5.46
2759 252.84 -13.49  5.94
2760 209.88   8.78  6.65
2761 257.96 -15.71  5.72
2762 259.31 -16.29  4.76
2763 200.92  13.23  3.58
2764 236.50  -5.21  4.79
2765 221.86   2.72  6.29
2766 240.58  -7.30  4.64
2767 263.45 -17.78  5.97
2768 243.34  -8.59  6.32
2769 250.08 -11.91  5.80
2770 248.52 -11.12  5.03
2771 257.99 -15.45  5.66
2772 156.84  27.03  6.35
2773 249.01 -11.28  2.70
2774 239.73  -6.57  6.46
2775 175.42  23.16  6.35
2776 172.73  23.90  5.77
2777 195.98  15.89  3.53
2778 213.67   7.46  5.89
2779 209.74   9.54  5.91
2780 202.43  13.08  6.45
2781 237.82  -5.37  4.98
2782 238.18  -5.54  4.40
2783 161.96  26.36  6.53
2784 161.96  26.37  5.45
2785 233.17  -2.85  6.09
2786 239.65  -6.26  5.28
2787 248.78 -10.91  4.66
2788 230.67  -1.41  5.70
2789 255.49 -14.03  5.85
2790 248.82 -10.86  5.11
2791 251.08 -11.94  5.25
2792 179.29  22.31  6.40
2793 181.57  21.58  5.13
2794 246.12  -9.42  6.30
2795 197.63  15.66  5.10
2796 229.04  -0.13  5.45
2797 133.11  28.47  6.41
2798 224.24   2.51  6.55
2799 236.54  -4.13  6.61
2800 240.20  -6.03  6.01
2801 216.28   6.89  5.99
2802 239.26  -5.50  5.87
2803 279.09 -22.69  3.98
2804 165.74  26.03  5.80
2805 177.67  23.15  5.19
2806 224.41   2.63  6.43
2807 219.13   5.49  6.23
2808 193.34  17.78  5.03
2809 149.69  28.26  6.47
2810 195.38  16.97  6.02
2811 221.81   4.12  5.82
2812 233.29  -2.06  4.96
2813 263.57 -17.00  6.05
2814 263.57 -17.00  6.60
2815 263.37 -16.87  5.39
2816 190.91  18.97  5.76
2817 202.53  14.19  6.41
2818 168.71  25.75  4.64
2819 244.86  -7.90  5.43
2820 206.17  12.67  5.30
2821 190.85  19.27  3.79
2822 241.24  -5.92  5.38
2823 245.16  -7.93  5.39
2824 243.41  -6.94  6.60
2825 231.09  -0.21  5.33
2826 236.96  -3.46  6.19
2827 242.62  -6.49  2.45
2828 208.45  11.78  4.99
2829 248.48  -9.49  6.31
2830 147.28  28.69  5.64
2831 233.58  -1.51  6.24
2832 228.99   1.05  5.78
2833 222.02   4.97  5.97
2834 244.92  -7.52  5.35
2835 197.05  17.15  6.54
2836 207.31  12.54  6.37
2837 198.29  16.66  5.93
2838 220.95   5.59  6.76
2839 236.26  -2.81  6.05
2840 206.97  12.76  6.41
2841 239.12  -4.32  5.78
2842 249.87 -10.00  6.97
2843 249.87 -10.00  6.84
2844 169.91  25.87  5.72
2845 209.52  11.68  2.90
2846 197.23  17.30  5.22
2847 244.96  -7.30  6.31
2848 299.59 -27.15  6.47
2849 168.33  26.35  5.36
2850 237.93  -3.36  6.56
2851 210.85  11.28  5.25
2852 187.14  21.34  4.18
2853 232.83  -0.49  5.63
2854 209.05  12.18  4.32
2855 237.41  -3.00  5.61
2856 247.20  -8.22  5.90
2857 190.83  20.13  5.05
2858 203.36  14.97  6.22
2859 227.36   2.67  5.79
2860 237.29  -2.74  5.95
2861 191.07  20.15  5.01
2862 262.72 -15.63  5.10
2863 242.88  -5.67  5.54
2864 206.38  13.88  4.54
2865 218.99   7.54  5.59
2866 224.02   4.91  5.86
2867 226.46   3.58  5.75
2868 230.57   1.36  6.05
2869 250.66  -9.59  6.58
2870 245.36  -6.76  6.38
2871 245.36  -6.76  7.13
2872 179.99  24.08  6.54
2873 245.04  -6.54  5.77
2874 237.67  -2.39  4.85
2875 251.64  -9.93  5.43
2876 222.12   6.32  6.24
2877 201.80  16.44  5.42
2878 255.74 -11.91  3.25
2879 196.30  18.95  6.54
2880 215.88   9.92  5.25
2881 244.76  -6.00  4.65
2882 250.46  -8.97  6.65
2883 225.50   4.87  5.90
2884 264.50 -15.79  5.87
2885 249.46  -8.29  6.68
2886 203.19  16.32  5.25
2887 214.76  10.79  5.59
2888 275.98 -20.45  6.39
2889 249.25  -8.12  6.61
2890 187.44  22.48  2.88
2891 187.44  22.48  1.98
2892 266.20 -16.43  5.96
2893 208.18  14.21  6.28
2894 161.77  28.38  5.92
2895 249.38  -8.04  6.30
2896 188.43  22.29  5.33
2897 230.45   2.52  6.21
2898 175.80  25.89  6.30
2899 234.89   0.06  5.66
2900 239.51  -2.54  5.85
2901 214.81  11.06  5.81
2902 230.67   2.52  4.97
2903 172.41  26.71  5.65
2904 215.46  10.88  6.55
2905 192.60  21.06  4.06
2906 237.50  -1.19  4.45
2907 253.13  -9.78  6.26
2908 255.87 -11.16  6.52
2909 238.56  -1.71  5.83
2910 238.56  -1.71  5.87
2911 249.85  -7.95  5.54
2912 240.89  -2.95  6.65
2913 247.33  -6.53  6.11
2914 169.61  27.45  5.92
2915 179.10  25.39  6.38
2916 241.69  -3.37  5.77
2917 253.06  -9.59  6.76
2918 212.81  12.70  5.91
2919 291.02 -25.01  5.53
2920 225.50   6.04  6.27
2921 230.91   3.02  5.70
2922 242.96  -3.87  4.64
2923 237.61  -0.70  6.34
2924 184.45  24.24  5.56
2925 263.71 -14.64  6.28
2926 195.34  20.64  6.27
2927 221.89   8.26  5.13
2928 235.53   0.61  5.74
2929 160.34  29.09  6.06
2930 184.97  24.23  4.90
2931 195.56  20.79  6.17
2932 231.05   3.38  6.53
2933 239.15  -1.26  6.37
2934 264.77 -14.96  4.94
2935 181.06  25.49  5.73
2936 187.71  23.58  6.17
2937 248.98  -6.67  4.53
2938 202.01  18.35  5.05
2939 170.43  27.88  5.56
2940 261.40 -13.19  5.72
2941 267.95 -16.32  6.39
2942 249.29  -6.75  6.60
2943 213.69  13.03  0.38
2944 240.65  -1.84  4.70
2945 251.71  -8.05  6.38
2946 158.51  29.53  4.99
2947 234.92   1.61  6.72
2948 241.96  -2.44  4.50
2949 241.97  -2.44  4.62
2950 213.79  13.20  6.02
2951 196.92  20.73  5.89
2952 253.54  -8.88  6.59
2953 205.89  17.05  6.24
2954 250.46  -7.16  5.80
2955 252.47  -8.28  6.19
2956 242.09  -2.35  6.50
2957 261.31 -12.86  5.68
2958 225.90   7.04  6.01
2959 232.09   3.55  4.94
2960 235.90   1.36  5.93
2961 252.14  -7.90  4.84
2962 185.83  24.76  6.02
2963 252.01  -7.77  5.73
2964 252.13  -7.82  5.76
2965 206.28  17.17  5.77
2966 215.43  12.81  5.94
2967 205.61  17.51  5.56
2968 251.54  -7.46  6.00
2969 167.94  28.72  5.27
2970 227.19   6.52  3.93
2971 265.68 -14.82  6.06
2972 243.17  -2.63  6.76
2973 191.19  23.27  4.28
2974 246.43  -4.43  6.56
2975 150.76  30.20  5.92
2976 238.36   0.27  6.18
2977 153.79  30.15  6.49
2978 197.75  21.02  6.21
2979 286.11 -23.14  7.16
2980 286.11 -23.14  7.26
2981 252.51  -7.69  5.42
2982 218.73  11.56  6.19
2983 194.42  22.39  5.31
2984 257.96 -10.57  6.41
2985 195.85  21.97  3.57
2986 252.57  -7.57  6.54
2987 207.12  17.43  6.43
2988 242.01  -1.44  5.64
2989 216.84  12.81  6.47
2990 192.23  23.41  1.14
2991 199.99  20.62  6.33
2992 241.37  -0.85  6.55
2993 243.88  -2.32  4.59
2994 250.51  -6.15  5.60
2995 252.98  -7.54  6.89
2996 244.38  -2.54  3.96
2997 133.68  29.44  6.56
2998 258.57 -10.57  5.06
2999 182.32  26.50  5.18
3000 289.62 -24.11  6.18
3001 252.45  -7.11  6.40
3002 254.86  -8.44  5.17
3003 201.86  20.14  4.88
3004 240.75  -0.26  5.62
3005 262.95 -12.79  6.57
3006 270.91 -16.72  6.43
3007 250.62  -5.99  5.80
3008 209.33  17.00  5.30
3009 232.19   4.91  6.89
3010 232.20   4.91  6.07
3011 252.31  -6.84  5.88
3012 270.57 -16.46  6.21
3013 186.76  25.53  5.14
3014 225.31   8.90  5.49
3015 232.14   5.07  5.04
3016 252.31  -6.73  6.54
3017 252.39  -6.74  3.61
3018 249.13  -4.81  5.37
3019 230.59   6.17  6.39
3020 257.51  -9.53  6.03
3021 197.48  22.40  6.18
3022 252.45  -6.56  5.88
3023 239.19   1.34  5.90
3024 284.57 -22.16  3.95
3025 254.36  -7.54  6.57
3026 233.59   4.71  6.34
3027 233.62   4.72  6.43
3028 163.89  30.25  6.02
3029 230.32   6.66  5.48
3030 207.14  18.71  6.04
3031 269.32 -15.48  6.12
3032 253.77  -7.09  6.31
3033 215.64  14.77  6.53
3034 242.25  -0.21  4.50
3035 253.08  -6.63  5.08
3036 278.18 -19.49  6.38
3037 260.25 -10.56  5.23
3038 281.85 -20.97  6.18
3039 162.66  30.56  6.38
3040 187.19  26.19  6.03
3041 255.03  -7.57  6.14
3042 231.52   6.41  6.23
3043 241.47   0.49  5.33
3044 234.91   4.51  5.18
3045 241.46   0.57  3.34
3046 260.73 -10.66  4.71
3047 227.95   8.62  5.61
3048 237.49   3.02  6.56
3049 250.42  -4.69  5.93
3050 216.83  14.69  6.18
3051 236.95   3.44  6.12
3052 248.76  -3.64  5.60
3053 201.62  21.72  5.99
3054 229.75   7.82  6.16
3055 260.18 -10.19  4.11
3056 269.26 -15.03  6.33
3057 258.76  -9.36  6.32
3058 260.61 -10.42  5.84
3059 218.32  14.20  5.14
3060 241.37   1.08  6.45
3061 216.98  14.99  6.31
3062 269.26 -14.91  5.59
3063 231.32   7.14  6.36
3064 232.27   6.62  5.17
3065 171.70  29.95  6.25
3066 171.50  30.02  5.45
3067 194.19  24.70  4.97
3068 238.56   2.93  5.63
3069 258.72  -9.09  6.45
3070 272.87 -16.62  5.78
3071 263.97 -12.00  5.91
3072 224.94  11.03  5.76
3073 233.16   6.26  5.69
3074 257.47  -8.26  6.32
3075 140.86  30.73  5.41
3076 272.69 -16.44  6.72
3077 161.19  31.18  6.72
3078 257.32  -8.10  6.04
3079 250.27  -3.88  5.01
3080 255.35  -6.86  3.73
3081 278.52 -19.08  5.79
3082 134.47  29.96  5.42
3083 185.13  27.70  6.23
3084 253.90  -5.93  4.49
3085 251.78  -4.59  5.43
3086 201.42  22.74  5.35
3087 212.16  18.24  5.86
3088 267.62 -13.54  5.70
3089 263.38 -11.19  4.63
3090 262.06 -10.42  4.24
3091 251.48  -4.14  5.49
3092 250.64  -3.53  6.15
3093 216.37  16.49  6.17
3094 175.71  30.05  6.34
3095 205.62  21.45  5.78
3096 247.33  -1.40  6.44
3097 212.57  18.53  6.05
3098 219.58  15.14  6.35
3099 246.92  -0.86  6.33
3100 266.19 -12.36  6.38
3101 258.53  -7.93  6.02
3102 240.64   3.07  4.20
3103 214.02  18.09  6.41
3104 205.06  22.08  5.99
3105 270.45 -14.61  5.63
3106 158.24  31.91  5.77
3107 255.89  -6.26  6.78
3108 129.27  29.15  6.49
3109 156.73  31.95  6.01
3110 218.70  15.88  5.29
3111 257.39  -7.02  6.09
3112 153.47  31.97  6.40
3113 247.10  -0.65  4.79
3114 258.34  -7.57  5.35
3115 208.40  20.99  6.02
3116 258.90  -7.83  5.09
3117 266.68 -12.32  3.47
3118 262.21  -9.73  6.22
3119 160.33  32.05  6.49
3120 273.50 -15.94  5.74
3121 260.23  -8.49  5.17
3122 224.24  13.39  4.93
3123 241.28   3.29  5.11
3124 196.23  25.82  5.83
3125 201.98  23.84  6.25
3126 272.25 -15.24  6.25
3127 198.13  25.23  6.34
3128 204.50  22.88  5.55
3129 263.48 -10.28  4.41
3130 185.50  28.93  6.34
3131 237.16   6.00  4.61
3132 196.62  25.89  6.31
3133 265.43 -11.36  6.44
3134 205.43  22.71  5.99
3135 223.64  13.99  6.51
3136 216.58  17.74  5.65
3137 260.02  -8.13  5.99
3138 273.38 -15.69  5.60
3139 276.13 -17.11  6.14
3140 254.96  -5.01  5.24
3141 222.35  14.81  4.68
3142 264.20 -10.51  6.32
3143 264.20 -10.51  6.34
3144 212.83  19.67  6.22
3145 219.07  16.80  4.39
3146 260.35  -8.06  6.61
3147 273.93 -15.80  5.81
3148 263.41  -9.86  6.02
3149 193.90  27.14  4.94
3150 226.95  12.67  6.33
3151 263.34  -9.77  6.12
3152 273.41 -15.43  6.33
3153 273.76 -15.61  5.17
3154 253.46  -3.60  5.95
3155 253.31  -3.39  6.34
3156 268.02 -12.37  5.87
3157 268.39 -12.48  6.10
3158 203.35  24.34  6.15
3159 276.55 -16.92  4.82
3160 249.52  -0.79  5.82
3161 269.24 -12.92  6.28
3162 257.01  -5.53  5.52
3163 209.11  22.16  5.12
3164 194.34  27.50  6.21
3165 255.98  -4.71  2.25
3166 258.48  -6.27  6.29
3167 176.84  31.52  6.26
3168 238.90   6.28  6.13
3169 199.58  26.05  5.99
3170 249.83  -0.69  5.31
3171 285.73 -21.21  6.34
3172 222.18  16.22  6.41
3173 167.19  32.65  4.84
3174 230.04  12.07  6.23
